sourcePostId,title,proposedCollection,severity,message
46,Haklarım Başvuru Kılavuzu,kitaplar,warning,"Öne çıkan görselin alt metni boş (post_id=46, https://mustafaeren.net/wp-content/uploads/2019/01/Haklarim-basvuru-tihek-1.png)"
46,Haklarım Başvuru Kılavuzu,kitaplar,warning,"WordPress excerpt'i Lorem Ipsum tema demo metni — göz ardı edildi: ""Nullam non urna convallis arcu semper interdum. Phasellus ni…"""
46,Haklarım Başvuru Kılavuzu,kitaplar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
58,Türkiye Hapishaneler Almanağı 2015,kitaplar,warning,"Öne çıkan görselin alt metni boş (post_id=58, https://mustafaeren.net/wp-content/uploads/2015/05/Ekran-Resmi-2025-02-12-21.47.30.png)"
58,Türkiye Hapishaneler Almanağı 2015,kitaplar,warning,"WordPress excerpt'i Lorem Ipsum tema demo metni — göz ardı edildi: ""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Viv…"""
58,Türkiye Hapishaneler Almanağı 2015,kitaplar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
3330,Türkiye'de İşçi Mahpusların Güncel Durumu,kitaplar,warning,"Öne çıkan görselin alt metni boş (post_id=3330, https://mustafaeren.net/wp-content/uploads/2015/05/Ekran-Resmi-2025-02-12-21.27.08.png)"
3331,Kanlı Pazar,kitaplar,warning,"Öne çıkan görselin alt metni boş (post_id=3331, https://mustafaeren.net/wp-content/uploads/2012/02/Ekran-Resmi-2019-01-12-15.45.50.png)"
3331,Kanlı Pazar,kitaplar,warning,"WordPress excerpt'i Lorem Ipsum tema demo metni — göz ardı edildi: ""Vivamus id dignissim ipsum, id dictum quam. Mauris hendrerit…"""
3331,Kanlı Pazar,kitaplar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
3332,Mahpus Hakları El Kitabı,kitaplar,warning,"Öne çıkan görselin alt metni boş (post_id=3332, https://mustafaeren.net/wp-content/uploads/2019/01/mahpus-haklari-el-kitabi-foto-1.png)"
3332,Mahpus Hakları El Kitabı,kitaplar,warning,sayfaSayisi: kullanıcı doğrulaması (154) gövde metninden çıkarılan değerden (152) farklı — kullanıcı değeri esas alındı
